  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1949-11,1.16,1.21,0.63,2.58,-0.24
1949-12,7.09,6.12,10.04,8.13,8.53
1950-01,4.19,3.04,8.47,2.16,4.98
1950-02,0.54,2.14,3.8,3.93,1.52
1950-03,-0.37,-0.29,3.68,-2.92,-0.55
1950-04,3.89,5.12,10.32,5.63,3.94
1950-05,3.15,4.55,-0.46,1.45,1.78
1950-06,-6.85,-7.58,-9.47,-6.37,-8.19
1950-07,4.09,5.39,-0.89,-3.18,8.69
1950-08,5.01,5.45,6.98,4.05,3.25
1950-09,5.48,5.07,6.96,5.85,6.01
1950-10,-0.92,0.06,-3.19,0.55,-0.25
1950-11,0.58,4.44,1.27,3.28,5.52
1950-12,6.91,8.14,4.79,6.3,13.95
1951-01,7.56,7.82,8.93,4.05,6.91
1951-02,1.47,1.05,3.14,2.16,0.49
1951-03,-3.72,-3.21,-3.17,-0.04,-3.68
1951-04,1.91,5.83,4.49,8.9,2.44
1951-05,-2.01,-2.32,-3.21,-0.23,-3.88
1951-06,-4.87,-4.21,-4.09,-1.45,-5.4
1951-07,3,8.17,5.28,10.8,6.86
1951-08,4.16,5.18,6.24,-0.63,4.56
1951-09,1.36,2.35,2.56,0.02,4.09
1951-10,-2.69,-1.69,-4.06,-3.58,-3.22
1951-11,0.26,0.43,2.86,-1.33,2.04
1951-12,0.47,2.21,2.58,3.19,1
1952-01,0.4,2.55,0.92,2.52,2.1
1952-02,-1.64,-2.51,-1.48,-3.56,-1.69
1952-03,2.04,2.96,3,0.21,4.47
1952-04,-3.45,-5.45,-3.04,-4.83,-3.91
1952-05,2.26,2.59,1.02,1.06,2.63
1952-06,2.26,3.26,3.8,0.95,4.14
1952-07,0.64,1.46,1.86,-2.22,0.74
1952-08,0.63,-0.37,0.57,-0.01,-0.07
1952-09,-1.49,-1.99,1.76,-2.25,-1.2
1952-10,-1.35,-1.08,-0.43,-1.48,-1.16
1952-11,4.74,5.81,6.52,5.39,6.19
1952-12,1.69,2.27,2.61,-0.26,3.6
1953-01,3,2.04,2.31,-2.37,3.11
1953-02,1.94,0.94,1.2,2.07,0.6
